Question,Option A,Option B,Option C,Option D,Correct Answer,Comment A,Comment B,Comment C,Comment D
"Write the SQL to select all columns from a table named 'Customers'.","SELECT Customers *;","SELECT * FROM Customers;","GET * FROM Customers;","SELECT ALL FROM Customers;","B","Incorrect syntax. '*' needs to be after SELECT and FROM is needed.","Correct. 'SELECT *' selects all columns, 'FROM Customers' specifies the table.","Incorrect. 'GET' is not a standard SQL keyword for selection.","Incorrect. 'ALL' is not used this way; '*' selects all columns. Standard SQL doesn't use 'SELECT ALL' for columns."
"Write the SQL to select only the 'Name' and 'City' columns from the 'Customers' table.","SELECT Name, City FROM Customers;","SELECT * FROM Customers WHERE Columns = 'Name', 'City';","SELECT (Name, City) FROM Customers;","FETCH Name, City FROM Customers;","A","Correct. Specifies the desired columns directly after SELECT.","Incorrect. WHERE clause is for filtering rows, not selecting columns.","Incorrect syntax. Columns are listed comma-separated, not in parentheses like this.","Incorrect. 'FETCH' is sometimes used with cursors or for limiting rows (like LIMIT/OFFSET), not for basic column selection."
"Write the SQL to select all customers from the 'Customers' table who live in 'London'.","SELECT * FROM Customers WHERE City = London;","SELECT * FROM Customers HAVING City = 'London';","SELECT * FROM Customers WHERE City == 'London';","SELECT * FROM Customers WHERE City = 'London';","D","Incorrect. String literals in SQL must be enclosed in single quotes (e.g., 'London').","Incorrect. HAVING filters groups after aggregation; WHERE filters individual rows before aggregation.","Incorrect. The standard SQL equality operator is '=', not '=='.","Correct. Uses the WHERE clause with the correct equality operator and string literal quoting."
"Given table Orders(OrderID, CustomerID, OrderDate), write the SQL to count the total number of orders.","SELECT COUNT(Orders);","SELECT SUM(*) FROM Orders;","SELECT COUNT(*) FROM Orders;","SELECT NUMBER(*) FROM Orders;","C","Incorrect syntax. COUNT() operates on columns or '*'.","Incorrect. SUM() adds values in a column; it doesn't count rows.","Correct. COUNT(*) is the standard way to count all rows in a table or result set.","Incorrect. 'NUMBER' is not a standard SQL aggregate function for counting."
"Write the SQL to select customers from 'Customers' whose 'Name' starts with the letter 'A'.","SELECT * FROM Customers WHERE Name LIKE 'A%';","SELECT * FROM Customers WHERE Name STARTS WITH 'A';","SELECT * FROM Customers WHERE Name = 'A*';","SELECT * FROM Customers WHERE Name LIKE 'A';","A","Correct. The LIKE operator with '%' wildcard matches any sequence of characters. 'A%' means 'starts with A'.","Incorrect. 'STARTS WITH' is not a standard SQL operator.","Incorrect. This would match only names that are literally 'A*'.","Incorrect. This would only match names that are exactly 'A'. The wildcard is missing."
"Given table Products(ProductID, Name, Price), write the SQL to find the average price of all products.","SELECT MEDIAN(Price) FROM Products;","SELECT AVG(Price) FROM Products;","SELECT MEAN(Price) FROM Products;","SELECT TOTAL(Price) / COUNT(*) FROM Products;","B","Incorrect. MEDIAN is not a standard SQL aggregate function in most dialects.","Correct. AVG() is the standard SQL function for calculating the average of a numeric column.","Incorrect. 'MEAN' is a statistical term, but AVG() is the SQL function.","Incorrect logic. While mathematically related, this is not the standard direct function. TOTAL() isn't standard SQL. You'd use SUM(Price)."
"Write the SQL to select all orders from 'Orders' placed on or after '2025-01-01'. Assume OrderDate is a DATE type.","SELECT * FROM Orders WHERE OrderDate >= '2025-01-01';","SELECT * FROM Orders WHERE OrderDate > '2024-12-31';","SELECT * FROM Orders WHERE OrderDate LATER THAN '2025-01-01';","SELECT * FROM Orders WHERE OrderDate BETWEEN '2025-01-01' AND MAX(OrderDate);","A","Correct. Uses the '>=' operator for 'on or after' comparison with the date literal correctly quoted.","Correct Logically, but option A is more direct for 'on or after'. Both A & B work assuming dates are comparable this way. Let's prefer the direct '>='.","Incorrect. 'LATER THAN' is not standard SQL syntax.","Incorrect. BETWEEN is inclusive, but using MAX(OrderDate) like this in a WHERE clause is not standard or efficient. The '>=' comparison is direct."
"Write the SQL to select product names and prices from 'Products', sorted by price in descending order.","SELECT Name, Price FROM Products SORT BY Price DESC;","SELECT Name, Price FROM Products ORDER BY Price DOWN;","SELECT Name, Price FROM Products ORDER BY Price DESC;","SELECT Name, Price FROM Products GROUP BY Price DESC;","C","Incorrect. The keyword is ORDER BY, not SORT BY.","Incorrect. The keyword for descending order is DESC, not DOWN.","Correct. Uses ORDER BY to sort and DESC for descending order.","Incorrect. GROUP BY is for aggregation, not sorting result rows."
"Given Employees(ID, Name, Salary, DeptID) and Departments(DeptID, DeptName). Write SQL to list employee names and their department names.","SELECT E.Name, D.DeptName FROM Employees E JOIN Departments D;","SELECT Name, DeptName FROM Employees INNER JOIN Departments;","SELECT E.Name, D.DeptName FROM Employees E INNER JOIN Departments D ON E.DeptID = D.DeptID;","SELECT E.Name, D.DeptName FROM Employees E, Departments D WHERE E.DeptID = D.DeptID;","C","Incorrect. Missing the required ON clause to specify the join condition.","Incorrect. Also missing the required ON clause. Table aliases might be needed if column names were ambiguous.","Correct. Uses INNER JOIN with the proper ON clause matching DeptID in both tables. Aliases (E, D) improve readability.","Correct (Implicit Join Syntax). This older comma-separated join syntax works but INNER JOIN syntax (Option C) is generally preferred for clarity."
"Write the SQL to find the highest salary from the 'Employees' table.","SELECT TOP 1 Salary FROM Employees ORDER BY Salary DESC;","SELECT MAX(Salary) FROM Employees;","SELECT Salary FROM Employees HAVING Salary = MAX(Salary);","SELECT HIGHEST(Salary) FROM Employees;","B","Correct (Syntax Varies). This works in SQL Server and MS Access. `LIMIT 1` is used in MySQL/PostgreSQL. However, MAX() is more standard and direct.","Correct. MAX() is the standard SQL aggregate function to find the maximum value in a column.","Incorrect. Aggregate functions like MAX() cannot typically be used directly in a HAVING clause without a GROUP BY, and WHERE would be more appropriate here if not using MAX() directly.","Incorrect. 'HIGHEST' is not a standard SQL function."
